"笑侃流年百态：很多人质疑黄晓明，
何德何能担任影协副主席，
其实这是对黄晓明的最大偏见。
演技过硬代表作数不胜数，
主流影视大奖拿到手软，
热衷慈善社会责任感强，
洁身自好一股清流，
商业运作无人出其右，
外形帅气无人能比，
中生代里有望成为天王巨星的不二人选，
成为影协副主席实至名归。"
小明哥三观还是很正的！！,267923709765159,一半兰色,"[['那是[握手][握手][握手]', 9539561115, '笑侃流年百态'], ['什么是三观，你说。。', 619757328404723, '小冬虫'], ['你看陈道明、李雪健主席捐多少、应该是捐过没有[捂脸]', 5790192310, '金刚锁链顺风拳'], 3]"
我就挺喜欢他的，最起码不装，热心公益活动。,4463667098686622,悠闲行走在路上,"[['是的', 9539561115, '笑侃流年百态'], 1]"
黄晓明的人品大家应该是看得见的，我老头子非常支持,110842936730,用户9726660517037
小明优秀老实，个人评价，不接受反驳,5591247606,深圳toutiao,"[['[握手][握手][握手]', 9539561115, '笑侃流年百态'], ['百度下割韭菜八个亿[捂脸]，黄妈倒是挺伟大', 50238490900, '楚125942694'], 2]"
有演技，有颜值，有人脉，有能力，有正义，当之无愧，,2216224093635755,正义凛然柳叶rK,"[['总结到位', 9539561115, '笑侃流年百态'], ['🐲一起迎接龙年', 6658746262, '阳关102756651'], ['[握手][握手][握手]', 9539561115, '笑侃流年百态'], ['有演技？', 4262121765088916, '奋斗罗文〗'], ['演技好吗？', 4700622198, '请叫我66'], ['舔的好 打钱[灵光一闪]', 4580346712, 'pudatzo'], 6]"
小明离婚后，又恢复了男人的样子，那个女人太克,103612779442,果果宝宝
三观正[作揖]人善良又有担当大难面前捐款无数[赞][赞][赞],3614790963173855,非凡小鱼kg,"[['您是真粉[赞]', 9539561115, '笑侃流年百态'], ['有的演员钱挣的不少，有难时，帮老白姓有几个', 4001835982791790, '远见卓识梦想家v7'], ['晓明洁身自好，一股清流无私无畏，公益捐款，帅气👦🏻真诚[祈祷][赞][赞][玫瑰][比心]', 3249762891734435, '幽默的枫叶飘飘'], ['支持晓明哥[赞][赞][赞]', 1856393903623614, '秋意🍁'], ['🐲一起迎接龙年', 1596104335964670, '一瓣小甜橘子'], ['嘿嘿，还真是铁心粉', 63096047377, 'MEI183117206'], ['舔的好 打钱[灵光一闪]', 4580346712, 'pudatzo'], ['他三观正？就不会娶了那女人', 102030001439, '无敌睡宝'], 8]"
人家不是过气了，人家只是自由了而已，不需要经济公司包装，不需要买流量，不需要上热搜,55049083429,进取小牛牛,"[['是的。思想境界已经超出那些小鲜肉太多', 9539561115, '笑侃流年百态'], ['评价的真实[赞]', 4406440755735480, 'CL2063'], 2]"
他一直做公益，每次国家有难第一时间捐钱，就黄晓明的人品没话说,62784927093,只为爱绽放,"[['所言甚是', 9539561115, '笑侃流年百态'], ['黄晓明经常给家乡青岛免费代言，别的明星很少有这样的。', 94038482224, '英语老师Windy'], ['人品好', 62784927093, '只为爱绽放'], ['演艺圈公认的有大爱且德行人品好，就做公益这一方面黄晓明就非常令人敬佩，别说人家有钱，有钱的很多，但能国家有难 一直第一时间慷慨解囊奉献爱心的，在演艺圈绝对是名列前茅。这样正能量的人成为领导当之无愧，何况他演的戏大部分都很赞。[赞][赞][赞]如果那些虽有名业务好，但德行差没爱心的当选，才是影视圈悲哀。', 7780803923, '水中鱼游啊游'], ['是的', 62784927093, '只为爱绽放'], ['演技', 4700622198, '请叫我66'], ['经纪人安排', 21431069508, '迷失的焦点'], 7]"
晓明还可以，每次捐款都有他的名字，跟韩红老师一条线！[赞][赞],3888322710606471,进取原野oV,"[['责任感爆棚', 9539561115, '笑侃流年百态'], ['是呀', 3888322710606471, '进取原野oV'], ['[握手][握手]', 9539561115, '笑侃流年百态'], 3]"
黄晓明绝对能胜任这工作！因为黄晓明三观正！支持，支持！这不是拼演技，品德更重要,3435325434373848,温柔海洋VSo,"[['[握手][握手][握手]', 9539561115, '笑侃流年百态'], ['有演技？？没看出来！', 19785330664, '才思敏捷松鼠0f9'], ['[笑哭][笑哭][笑哭]', 9539561115, '笑侃流年百态'], ['那是你不会看[捂脸]', 3241015506641115, 'HZ0532'], ['三观正就不会有北鼻了', 52271035161, '莲溪惠毅'], ['搜搜黄晓明割韭菜事件吧。他已经犯罪了，只不过被他公关下来了。', 9409058025, '金铲铲小米同学'], ['說得太對了。我也想說此事', 108437158091, '用户8402906391807'], ['对', 50426829260, '小新626'], ['张颂文才是品行与演技并行的，比黄晓明来得更有说服力。奖项不能论英雄，不确定因素太多，未必实至名归。', 110500599766, '勇者弗朗西丝1d9'], ['呵呵，又想起当年某药厂出事的新闻，还有婚礼造成交通混乱，炒作，因为他们夫妇，内娱才更没有底限', 50426829260, '小新626'], ['捐款娱乐圈第一[赞]', 3241015506641115, 'HZ0532'], ['黄晓明绝对胜任！', 92856557249, '小庭花11'], ['正当年[赞][赞][赞]', 1504593440148704, '夏至4703'], ['其实担任这个职务，很大程度上需要付出更多的时间和精力，真正和利益相比并不对等，也要品德好、人缘好，能得到圈内同行的支持，这些都能做得到的中青代，还真是很少有人能与他比肩。', 54823680085, '槐序7717'], ['太到位了', 21632257111348, '轩轩'], ['就是眼神不咋。结了又离', 3087049862944671, '梦与幻'], 16]"
国家灾难面前，他总是首当其冲，捐款捐物,1275023679033111,乐观的elva,"[['可敬可佩', 9539561115, '笑侃流年百态'], ['[握手]', 9539561115, '笑侃流年百态'], ['首当其冲词语使用不对[呲牙]', 3584034103107852, 'hahasky123'], ['你查查首当其冲是啥意思', 4262121765088916, '奋斗罗文〗'], 4]"
看到他入选，真是实至名归，我心舒坦。这才是榜样，是每个中国男人的榜样,50304600742,络合起航,"[['[握手][握手][握手]', 9539561115, '笑侃流年百态'], ['演技', 4700622198, '请叫我66'], 2]"
反正捐钱他是在前头[大笑],4780781008,顽强小红花Fo,"[['[呲牙][呲牙]', 9539561115, '笑侃流年百态'], 1]"
只要哪里出现灾情，黄晓明都会在第一时间捐献财物，他这人品可以说是在演艺界数一数二的，懂得感恩回馈社会，这才是真正的好演员！他被选副主席是当之无愧的！,5862708684,平安是福69040544,"[['的确。这才是公众应该追的星', 9539561115, '笑侃流年百态'], ['[赞][赞]嗯', 5862708684, '平安是福69040544'], ['演技好，人品好，有爱心，国家有难伸楥手，赞赞赞。', 97860982161, '博学的山雀ec7'], ['没毛病[比心]', 352307814342760, '傅玉石'], ['🐲一起迎接龙年', 2776617282, '鱼夫子'], ['偷税大户', 4189602519197967, '用户2871978292802'], ['你报警吧', 2263210132770964, 'ADELYRIA'], 7]"
黄晓明作品多，可以演帝王相将，如大汉天子、岳飞，可以演凡夫走卒，如土鳖中国合伙人、鬓边商人，可以演反角，如阴狠的日本军官，也可以正气凛然，如长林世子萧平章，消防英雄，古装民国现代装都很好。奖项多，内地影帝满贯。慈善多，凡有危难必站出。,122735777027595,用户5475912416627,"[['总结客观全面[赞][赞][赞]', 9539561115, '笑侃流年百态'], ['其实就五个字:还是个人才！', 1011180349429005, '雁落九沙LHB'], ['总结四个字:还是有人', 29017780271243, '一路长虹Aai'], ['四个字：自己努力', 122735777027595, '用户5475912416627'], ['有高人', 4521811329, '枢密院洞洞拐'], 5]"
黄晓明德艺双馨，且善良正直，荣任影协副主席当之无愧！大赞！[赞][赞][赞][玫瑰][玫瑰][玫瑰],1816236414,傅翠兰,"[['您这个有点夸大了[笑哭]', 9539561115, '笑侃流年百态'], ['你太谦虚了，没你能夸，“商业运作无人出其右，外形帅气无人能比”你差点把黄晓明夸成秦始皇了[呲牙]', 7385750054, '广东知名吃瓜群众'], ['其实还真是这样，一丢丢夸大', 9539561115, '笑侃流年百态'], ['永远支持小明哥', 68745375283, '乐天派生活家neX'], ['演技还差点，只能说他运气好，最重要的是选女朋友太没审美[捂脸]', 2475727053139395, '率真圆月Xv'], ['舔的好 打钱[灵光一闪]', 4580346712, 'pudatzo'], ['你装什么？', 2335792112606299, '小小小小帅'], 7]"
挺优秀，无什么大绯闻,72412232583,五十知天命未来很迷茫,"[['没有绯闻[笑哭]', 9539561115, '笑侃流年百态'], ['当年的疫苗股票', 93519623665, '逝去风云'], 2]"
黄晓明，哪里不好了？他的演技我看就不错，他有爱心，每次国家有难他几乎都捐献物资,103583148850,正义凛然葡萄51s,"[['对头[握手][握手][握手]', 9539561115, '笑侃流年百态'], ['难道捐款的就他一人？！', 74462496393, '玉梅36097'], ['你看陈道明、李雪健主席捐多少、每次不都是韩红、黄晓明等几个明星', 5790192310, '金刚锁链顺风拳'], 3]"
实至名归，演技一流，有爱心,1525737728509726,用户448285247615,"[['[握手][握手][握手]', 9539561115, '笑侃流年百态'], 1]"
多年来，他一直很有礼貌有爱心有满满的正能量。,4503064781,用户桃子糖,"[['[握手][握手]', 9539561115, '笑侃流年百态'], 1]"
黄晓明很好的人！这个职位应该是众望所归。,3874331010008820,奶奶慈父慈母健康快乐,"[['[握手][握手][握手]', 9539561115, '笑侃流年百态'], 1]"
就凭黄晓明每次有灾难时都捐款或捐物！我就力挺黄晓明！黄晓明有责任有担当！有爱心！,3729197812690599,非凡麻酱JI,"[['嗯嗯，要看人长处', 9539561115, '笑侃流年百态'], ['舔的好 打钱[灵光一闪]', 4580346712, 'pudatzo'], 2]"
支持黄晓明！娛乐圈的楷模！灾难面前总是走在前例，无私奉献，爱国敬业！[赞][赞][赞],2009558811162659,一往无前光束Ky,"[['[赞][赞][赞]', 9539561115, '笑侃流年百态'], 1]"
