"见微知著：在高速上过夜的小朋友，当时车在零下三度，下着冻雨，动弹不得。
油车还可以开空调，80%以上油的话，顶两三天，问题不大，半箱油，也能顶一天半。
开电车的朋友，只能自求多福了。
#天南地北大拜年#"
电车最省油，不接受反驳[得意],97899751705,zeizijie1987
98度电池，自动空调23度，高速睡了一晚加爱奇艺看《大江大河》，续航少了28公里。你觉得我能撑多久？,91578141892,勇者好想退休
电车就是一个笑话全球的事,4559153751,海阔天空898
电车是最不怕堵车的，堵车的时候电机不工作，0消耗[尬笑][尬笑],6906229978,瑶瑶yoyo小仙女
电车 开空调 最少能顶一个礼拜，你知道吗,5538486468,威刷布鲁克
油车常开也容易CO中毒，需要时时通一下风,3470480716335919,raccoon
80%油能顶两天？开玩笑呢！好一点的增程电车小憩模式了解下！,104735090146,江城星夜天空
油车，电车我都有，，来说下哈，，电车堵车不费电，速度跑起来续航才会嘎嘎掉，，热风开一宿也就掉30-40公里，我是64度电池包。,4103032226978536,吴洪gege
堵车时，在外面冻的蹦蹦跳跳的不进车的人，你猜猜他开的是什么车[呲牙],62796583497,蓝海一叶
如果是我，我会在地图上搜索附近村庄，然后带着孩子去附近村户落脚。在车里太冷。,62208984603,Onlyyou177132758
油车里睡觉好是好，就是有点费命,8338150757,不是桂花
油车怕堵还可带油桶，两个20升的，随便堵,85603904244,湘龙装饰
这个时候曾程车可是真香了，空调随便开，开两天两夜没电了还有油啊[呲牙],98073840409,谢哒哒
油车开空调，必须启动车子，发动机工作，才能开空调，长时间空转，不仅很费油，而且对发动机损害非常大，最重要的一点就是，会产生二氧化碳，如果开着空调在车里睡觉，运气不好就会直接死亡，，，至于电车开空调睡觉，不仅舒服而且安全，，风档调到1-2档，费不了多少电的，,2978980906,蒋先生唐
我下大雪零下11度被封到高速上17个小时，空调26度开着座椅加热和按摩车里热的我穿半截袖，一共掉电13度电一点都不担心。,5575146993,轰隆隆又轰隆隆
没开过电车的意象，电车驻车开空调根本耗不了多少电一晚七八个小时，基本上5%-7%的电就足够了,86902985240,Marco旧报纸
可是电车它省油啊[憨笑],1715714409112686,炎山散人
油车开一个晚上空调，密闭空间不通风人都没了,4627843552,喝茶的Peter
出门都不看天气预报和导航吗,3961709322,佐鑫佑鑫
油车没油可以找桶来加油，电车没电只能拖车,106770060591,乘语山
有100升油箱（改的）和二十几度电的21唐dm简直无敌,5258248002,ASSKICKER
我们是电车，每次跑长途都会准备很多吃的：水果、零食、泡面、烤鸭、饮用水等等，因为以前经常露营，所以车上有卡式炉，烧开水、煮火锅没问题，也有车上的充气垫，充好就可以睡觉，两个成年人加一个三岁小朋友完全没有问题，有羽绒被，有充电发热垫，出发前准备好，如遇堵车我们完全不慌[呲牙]关于高速充电排队这个问题对我们来说完全可以忽略，不赶时间我们会跑国道，一路走走停停，赶时间跑高速充电也就几把游戏、几篇文章的事，或者跟老公聊聊天，很快就打发了，所以对于我们来说电车的优势大于油车[呲牙]当然有条件的话还是油车电车都有还是最好不过了,4278933804301107,蓝图蓝海蓝婚纱6
油车怠速状态敢开空调？不怕一氧化碳中毒？,50028889511,小小甜心01
去年春节回家亲测！别担心电车了，电量剩余488公里，静态电车空调温度20度，风速两档，堵车六个小时左右，睡了一觉，电量剩余416公里，堵车结束，但速度很慢，大家都是六十左右往前开，电车怕快不怕慢，到了城市环城高速搜索本地高速下来找充电桩，快充四十分钟完全充满700公里，一站到家！,5851141055,悠闲明镜WT
错了，这种情况下，电车比较持久，我电车油车都有，我在油车上睡觉从来不点火，再冷也忍着，一箱油估计坚持不到24小时。,4488169902,慢慢变成老顾
车上开空调睡觉有危险把,59075012506,秋来九月八yx
油车堵久了，政府可以送油，电车可不能送电这么简单了,6580120264,愣愣的法斗
说说靠谱的，电车满电状态停车开空调能扛多久,104654312961,首届1
