"飞燕说：这是一位经过湖北某高速公路的司机拍摄的画面：一名当地人拿着一块写着‘米饭20’的牌子。

我不知道这位司机把这视频发出来的目的是什么。

明码标价、光明正大、堂堂正正挣钱。

有问题吗？

反正我个人认为这拿着牌子的当地人一点毛病都没有，

你去逛街的时候，喝一杯奶茶也差不多这个价格了吧，怎么不见你"
为什么要免费？人家掏钱出力还不一定讨好。我赞成付费，互不相欠,399869965248893,84471987
20块钱良心价！现在外面随意吃个快餐不是20起步？,4700411268,永远做地球
这次我挺湖北，明码标价了，要吃就吃，火车高铁上，有的还不止二十，为了后续被堵的车，还能持续的有口热饭吃，请别喷，寒了热心人的心，也会害了以后几天被堵的车乘人员！，到时候他们也没得吃了,59635084214,暴气倾城
高铁上50元一份预制菜咋没人拍出来[捂脸][尬笑],50811332375,为爱爱人
天寒地冻，20元真不贵；应该感谢大哥。[赞],50735087671,祥雲1573
没有什么不合理，明码实价，觉得贵可以忍一忍不吃,50715917248,星哥a0523
平时吃快餐也要15，这种天气卖20良心价了,1534542344895048,家居美容修复服务
有这价格是良心价了，天寒地冻的,51645800985,天天133065312
个人观点：不建议免费，收费才能有更多的人，做这件事，才能让更多的人免受饥寒交迫之苦……,4402869858207742,悠闲远山g5A
给大爷点赞，明码标价。别再宣传免费送东西了，不现实。,11721619656,自在智慧饺子w
这条件下，热乎乎的吃上一份，不贵。真的。,2854934434,一帆雨
明免费是政府做的事，个人免费是情分，不免费是本分！支持明码标价，越多人参与，价格越便宜！更支持天寒地冻的附近村名出来挣点零花钱！你们辛苦了，搁我是嫌冷的！,4621187042,乳化机灌装机专家
“子贡赎人”“子路受牛”的现实版。一开始有村民自发组织献爱心，但是花的也是自己的钱，并不是长久的办法。要是堵的时间久，第一天去免费可行，第二三天呢，钱也不是大风刮来的。那些想去买点泡面挣点辛苦钱的人，看到别人免费，加上媒体大肆宣扬免费他们也不敢去啊。而且困在高速的人又不是没钱。最后就是免费的坚持不下去，想去挣点辛苦钱的人也不敢去了，上面困住的人有钱也买不到吃的,50447554996,微风陪你顾星辰
他可以卖，你也可以不买，又没强买强卖,4437453276,剑气寒九州
真的不懂为啥总想着别人给你免费，假如在路上有人想坐你的免费车你会停吗？,96333667283,我就是凤子
20块明码标价，不偷不抢，冰天雪地，真心不贵,69966904751,泉流小河
高铁吃个饭花了50多[笑哭],6212938275,zk闪电松活弹抖劲
市场经济，别说这碗饭不值20块。等你饿的两眼昏花的时候200你都吃。大冷天人家送饭到家，20块，够良心了。[抠鼻],51323234552,骆马湖边钓鱼翁
这么冷的天，20不贵吧，人家也就挣个辛苦钱，服务没有免费的，符合市场规律，没这服务，只有饿肚子了。,99360966677,愉悦的天空o011
如果我去，饭60元一份。一壶水100元，泡面20。爱吃不吃。,102107531392,河南摄影pp
不卖，不送，看热闹才能皆大欢喜！免费提供了，也会有人嫌弃没得四菜一汤，斗米恩升米怨！,3135425920631764,NnnnnnnnnnnnnnnJJ
应该至少50。这样才能鼓励更多的人来赚钱，送资源过来。钱在这个时候能够换到急需的资源是最重要的。,100864376142,下马坊一平民
想吃免费，道德绑架的，都不长久。付费才有周转，或者更多人接力，更多人受惠。,2981477777685216,才思敏捷清泉vWd
他写200都没问题，又没人强迫你买，至少是明码标价了,6861991657,用你的蛋炒饭了
平时也无所谓，主要是和最近宣传的高速沿线村民免费送开水和泡面不符,59360370181,三戒plus
20不是饭钱 是服务费,51553651869,带泪的袋鼠
