快讯！外媒：俄乌冲突爆发两周年之际，俄防长赴前线视察部队
一句话：为俄罗斯勇于挑战世界霸权的坚强决心和顽强斗志：点赞！[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],1129938611343757,大皖孤者何惧,"[['破坏世界和平俄罗斯，抢土地胜利，世界早乱了，又要回到中世纪了', 2550522178701207, '李大礼关注'], ['与世界为敌与正义为敌很光荣？', 2084305348594976, '好运锦鲤哥'], 2]"
应该说是俄罗斯防长未经乌克兰批准，非法入境乌克兰东部城市！,1389383952116904,事实求是学历史,"[['胜利的一方是不受指责的，苏联红军攻入柏林，难道需要希特勒的同意吗？', 4108244707455261, '德哥暖阳'], ['日寇攻陷南京，不需要中国人民同意？', 1389383952116904, '事实求是学历史'], ['这两个一样？中国和德国一样是吧？', 105172422422, '双鱼羊羽'], ['为合法做前期准备', 2891856724, '十呆'], ['可能还要非法进入基辅和议会，随后就合法了。', 106026811880, '卧龙—龙在天涯'], ['发通缉令', 1693670477405219, '今天生意特别好'], 6]"
特别军事行动2年了，，今年能见证分晓吗？,4463614378384909,一往无前梦想sg,"[['估计在俄总统下一屆任期末结束！', 55231057096, '手机用户心情愉快TkPn'], 1]"
,1420221979830268,闲着也是闲着也是闲着
第二年结束了，第三年开始了！,55231057096,手机用户心情愉快TkPn
俄罗斯与美西方的战略对决，谁也不会轻易认输,59316215941,自强不息山雀rf
大将部长一线指挥，这仗焉能不赢？拜司令除骂人嘴硬还有何能？,3803938890719403,正能量梦想家2H
格拉西莫夫同志在哪里？！,110620909398,浩瀚宇宙的尘埃,"[['死了，再换个将领', 109996324504, '怀旧金曲2020'], 1]"
俄乌冲突，基本上就是新军事科技的试验，但最终还得粮草先行！,3707194127169934,远见卓识糯米cN
https://m.toutiao.com/is/iNb9TyJg/?= 拜登北约欧盟胆寒、伤心与绝望，阿夫杰耶夫卡彻底丢失 - 今日头条,15267297035,东方红曰升空
这都两年过去了？一点感觉都没有哦,62527824825,人生观察员2001
防长辛苦了,68350715444,岁月静好
赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞,58519497280,幸福在哪49
胜利的一方是不受指责的，苏联红军攻入柏林，难道需要希特勒的同意吗？普京必胜，俄罗斯必胜，正义和平必胜,4108244707455261,德哥暖阳
到底被击落几架预警机？,1231085258147960,消极糯夫
没有想到，一打打了都两年了,66830349286,运筹帷幄湖泊D1
俄乌对战，是欧洲进入下一阶段文明的必经事件。同时也推动了世界人类政治经济发展。,51765027568,永不消逝
绍哥[赞][赞][赞][赞][赞][赞],3857504999323712,博学的钢笔0R4
该结束了,4329712163,一个老程序猿
俄罗斯[赞][赞][赞],3067714765,三点水5416811
哈马斯呢,110844031518,英明果断漂流瓶Gi
3周年了,99146206081,俊俏风声hf
厉害,3204394618193304,博学伊夫琳5wf
乌克兰加油[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][赞][赞][赞][赞][赞][赞],62484890547,睿智的曲径通幽
俄罗斯的目标一定能实现！[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],66510148685,和平一子
乌克兰不去仇视俄罗斯，不把美英祸水引进，俄罗斯有病吗？去揍你？2021年6月乌克兰与英国签署在黒海建海军基地的协议！那是俄罗斯最大海上运输线，经济大动脉！底下还有俄土天然气管道！你这叫作死！俄罗斯就广东省的经济体量，一直想融入欧洲共同发财！可欧洲友好了，美国就收不成保护费了，军火卖给谁？高新技术咋控制？所以，当俄罗斯没有威胁时，美国会找根棍（乌克兰）去捅一下！[笑哭],101418124670,河山1958,"[['这才是问题的实质', 106026811880, '卧龙—龙在天涯'], 1]"
乌克兰必胜,4494401004641576,用户7920030822474,"[['现实呢', 4491029583, '老菜58'], ['乌克兰不会输加油', 62484890547, '睿智的曲径通幽'], ['乌克兰这种亲美西方的人永远不可能胜，乌克兰是代美西方国家和俄罗斯交战，这种不知谁近谁远的东西永远胜不了，只能是给美西方当炮灰。', 2792365535800909, '风姿卓越熊猫uj5'], ['整个国家都被控制，女人成了欧洲子宫。', 106026811880, '卧龙—龙在天涯'], 4]"
俄罗斯和美西方都不会认输，俄乌战事还会继续下去，最惨的还是乌克兰,64537222868,三雅sanya,"[['值得', 62484890547, '睿智的曲径通幽'], 1]"
这才哪到哪，苏联打阿富汗打了十年，美国打阿富汗打了二十年，熬吧。肥的拖瘦，瘦的拖死。,110865737217,上进的漂流瓶4l9,"[['苏联在阿富汗没输，是美国忽悠戈尔巴乔夫撤军的，而且是有序撤军。和美国从阿富汗“有序撤军”有天壤之别。', 1645325915796093, '一笑'], ['有肥沃的土地，赢得民心 乌克兰俄罗斯之战非阿富汗战，不要异想天开，白日做梦。', 62468578162, '鄂尔多斯老家'], 2]"
俄罗斯越打，领土越多,93254550131,幽默的厂长,"[['要那么多土地干什么？多少领土算多？', 4243734266382179, '勇敢的百香果CZ'], 1]"
为敢于向美帝恶霸亮剑的俄罗斯点一万个赞！[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],4244595090403341,袅袅
